Kode,Nama Perusahaan,Papan Pencatatan,Kategori
OPMS,Optima Prima Metal Sinergi Tbk,Pengembangan,Industri Dasar & Kimia
NZIA,Nusantara Almazia Tbk.,Pengembangan,Lainnya
SLIS,Gaya Abadi Sempurna Tbk.,Pengembangan,Lainnya
PURE,Trinitan Metals and Minerals T,Pemantauan Khusus,Energi & Pertambangan
IRRA,Itama Ranoraya Tbk.,Pengembangan,Lainnya
DMMX,Digital Mediatama Maxima Tbk.,Pengembangan,Media & Hiburan
SINI,Singaraja Putra Tbk.,Pemantauan Khusus,Lainnya
WOWS,Ginting Jaya Energi Tbk.,Pengembangan,Energi & Pertambangan
ESIP,Sinergi Inti Plastindo Tbk.,Pengembangan,Lainnya
TEBE,Dana Brata Luhur Tbk.,Utama,Lainnya
KEJU,Mulia Boga Raya Tbk.,Utama,Lainnya
PSGO,Palma Serasih Tbk.,Utama,Perkebunan & Agrikultur
AGAR,Asia Sejahtera Mina Tbk.,Pengembangan,Lainnya
IFSH,Ifishdeco Tbk.,Pemantauan Khusus,Lainnya
REAL,Repower Asia Indonesia Tbk.,Pengembangan,Infrastruktur & Telekomunikasi
IFII,Indonesia Fibreboard Industry,Pengembangan,Lainnya
PMJS,Putra Mandiri Jembar Tbk.,Pengembangan,Lainnya
UCID,Uni-Charm Indonesia Tbk.,Utama,Lainnya
GLVA,Galva Technologies Tbk.,Utama,Teknologi
PGJO,Bahtera Bumi Raya Tbk.,Pemantauan Khusus,Lainnya
AMAR,Bank Amar Indonesia Tbk.,Utama,Perbankan
CSRA,Cisadane Sawit Raya Tbk.,Pengembangan,Perkebunan & Agrikultur
INDO,Royalindo Investa Wijaya Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
AMOR,Ashmore Asset Management Indon,Pengembangan,Lainnya
TRIN,Perintis Triniti Properti Tbk.,Pengembangan,Properti & Real Estate
DMND,Diamond Food Indonesia Tbk.,Utama,Consumer Goods
PURA,Putra Rajawali Kencana Tbk.,Pemantauan Khusus,Lainnya
PTPW,Pratama Widya Tbk.,Pengembangan,Lainnya
TAMA,Lancartama Sejati Tbk.,Pengembangan,Lainnya
IKAN,Era Mandiri Cemerlang Tbk.,Pengembangan,Lainnya
SAMF,Saraswanti Anugerah Makmur Tbk,Utama,Lainnya
SBAT,Sejahtera Bintang Abadi Textil,Pemantauan Khusus,Lainnya
KBAG,Karya Bersama Anugerah Tbk.,Pemantauan Khusus,Konstruksi & Bahan Bangunan
CBMF,Cahaya Bintang Medan Tbk.,Pemantauan Khusus,Lainnya
RONY,Aracord Nusantara Group Tbk.,Pengembangan,Lainnya
CSMI,Cipta Selera Murni Tbk.,Pengembangan,Lainnya
BBSS,Bumi Benowo Sukses Sejahtera T,Pengembangan,Lainnya
BHAT,Bhakti Multi Artha Tbk.,Pengembangan,Lainnya
CASH,Cashlez Worldwide Indonesia Tb,Akselerasi,Lainnya
TECH,Indosterling Technomedia Tbk.,Pemantauan Khusus,Media & Hiburan
EPAC,Megalestari Epack Sentosaraya,Pengembangan,Lainnya
UANG,Pakuan Tbk.,Pengembangan,Lainnya
PGUN,Pradiksi Gunatama Tbk.,Pengembangan,Lainnya
